title;start;CES_parameters;slurmConfig;regionmapping;extramappings_historic;cm_rcp_scen;subsidizeLearning;cm_prtpScen;capitalMarket;cm_iterative_target_adj;cm_budgetCO2from2020;carbonprice;cm_taxCO2_functionalForm;cm_taxCO2_startyear;cm_peakBudgYr;cm_taxCO2_regiDiff;cm_taxCO2_regiDiff_endYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;c_earlyRetiValidYr;c_addBOFDeltaCap;cm_inco0Factor;cm_lifetime;c_addSteelGovTargets;c_limitBioSolidsCHA;cm_unlimitedCCSSteel;cm_PriceDurSlope_elh2;cm_incolearn;cm_fetaxscen;cm_bioenergy_SustTax;cm_33EW;cm_33OAE;cm_frac_NetNegEmi;c_ccsinjecratescen;c_ccscapratescen;cm_CESMkup_build;cm_CESMkup_ind;cm_CESMkup_ind_data;cm_wasteIncinerationCCSshare;techpol;regipol;cm_implicitQttyTarget;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_EDGEtr_scen;c_changeProdCost;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_refpolicycost;description
PolicyExtended-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;100;2055;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15;bf 35, bof 35;1;1;off;;;;;;;;;;;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;PolicyExtended-NPi;;PolicyExtended-NPi;PolicyExtended-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
PolicyExtended-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;75;2080;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15;bf 35, bof 35;1;1;off;;;;;;;;;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;PolicyExtended-NPi;;PolicyExtended-NPi;PolicyExtended-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
PolicyExtended_moreBFCCS-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;100;2055;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15, bfcc 0.75;bf 35, bof 35, bfcc 15;1;1;off;;;;;;;;;;;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;PolicyExtended-NPi;;PolicyExtended-NPi;PolicyExtended_moreBFCCS-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
PolicyExtended_RegCO2-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;75;2080;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15;bf 35, bof 35;1;1;off;;;;;;;;;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2035.2050.EUR.all.year.netGHG_LULUCFGrassi 0.001,2020.2050.(JPN,USA).all.year.netGHG 0.001,2020.(2060.CHA,2070.IND).all.year.netCO2 0.001;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;PolicyExtended-NPi;;PolicyExtended-NPi;PolicyExtended_RegCO2-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
PolicyExtended_RegCO2-PkBudg650;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;650;functionalForm;;100;2055;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15;bf 35, bof 35;1;1;off;;;;;;;;;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2035.2050.EUR.all.year.netGHG_LULUCFGrassi 0.001,2020.2050.(JPN,USA).all.year.netGHG 0.001,2020.(2060.CHA,2070.IND).all.year.netCO2 0.001;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;PolicyExtended-NPi;;PolicyExtended-NPi;PolicyExtended_RegCO2-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. his is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
# MoreCCS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EarlyTrans_moreCCS-NPi;1,AMT,compileInTests,2;;;;;rcp45;;;;0;0;NPi;;;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 1.0;2090;1;bfcc 0.8;;0;0;off;;;;;;;;3;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi,NEU_regi;;;;;;;;;;3;;;;;;Mix1;;2005;;;;;EarlyTrans_moreCCS-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead,carbon prices are assumed to grow and converge more slowly,leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
EarlyTrans_moreCCS-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;100;2055;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 1.0;2090;1;bfcc 0.8;;0;0;off;;;;;;;;3;;;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;EarlyTrans_moreCCS-NPi;;EarlyTrans_moreCCS-NPi;EarlyTrans_moreCCS-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
EarlyTrans_moreCCS-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;75;2080;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 1.0;2090;1;bfcc 0.8;;0;0;off;;;;;;;;3;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;EarlyTrans_moreCCS-NPi;;EarlyTrans_moreCCS-NPi;EarlyTrans_moreCCS-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
BaseTrans_moreCCS-NPi;1,AMT,compileInTests,2;;;;;rcp45;;;;0;0;NPi;;;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bfcc 0.8;;0;0;off;;;;;;;;3;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi,NEU_regi;;;;;;;;;;3;;;;;;Mix1;;2005;;;;;BaseTrans_moreCCS-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead,carbon prices are assumed to grow and converge more slowly,leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
BaseTrans_moreCCS-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;100;2055;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bfcc 0.8;;0;0;off;;;;;;;;3;;;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;BaseTrans_moreCCS-NPi;;BaseTrans_moreCCS-NPi;BaseTrans_moreCCS-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
BaseTrans_moreCCS-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;75;2080;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bfcc 0.8;;0;0;off;;;;;;;;3;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;BaseTrans_moreCCS-NPi;;BaseTrans_moreCCS-NPi;BaseTrans_moreCCS-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
ProlongedLifetime_moreCCS-NPi;1,AMT,compileInTests,2;;;;;rcp45;;;;0;0;NPi;;;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;0;1;off;;;;;;;;3;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi,NEU_regi;;;;;;;;;;3;;;;;;Mix1;;2005;;;;;ProlongedLifetime_moreCCS-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead,carbon prices are assumed to grow and converge more slowly,leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
ProlongedLifetime_moreCCS-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;100;2055;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;0;1;off;;;;;;;;3;;;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;ProlongedLifetime_moreCCS-NPi;;ProlongedLifetime_moreCCS-NPi;ProlongedLifetime_moreCCS-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
ProlongedLifetime_moreCCS-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;75;2080;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;0;1;off;;;;;;;;3;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;ProlongedLifetime_moreCCS-NPi;;ProlongedLifetime_moreCCS-NPi;ProlongedLifetime_moreCCS-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
PolicyExtended_moreCCS-NPi;1,AMT,compileInTests,2;;;;;rcp45;;;;0;0;NPi;;;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bof 0.00001;2090;1;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;1;1;off;;;;;;;;3;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi,NEU_regi;;;;;;;;;;3;;;;;;Mix1;;2005;;;;;PolicyExtended_moreCCS-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead,carbon prices are assumed to grow and converge more slowly,leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
